Plate,Group,Treatment,Day,Location,Well ID,Sample ID,Standard,sCD40L,hEGF,hEotaxin,hFGF-2,hFLT-3L,hFractalkine,hG-CSF,hGM-CSF,hGROa,hIFNa2,hIFNy,hIL-1a,hIL-1b,hIL-1RA,hIL-2,hIL-3,hIL-4,hIL-5,hIL-6,hIL-7,hIL-8,hIL-9,hIL-10,hIL-12(p40),hIL-12(p70),hIL-13,hIL-15,hIL-17A,hIL-17E/IL-25,hIL-17F,hIL-18,hIL-22,hIL-27,hIP-10,hMCP-1,hMCP-3,hM-CSF,hMDC,hMIG/CXCL9,hMIP-1a,hMIP-1b,hPDGF-AA,hPDGF-AB/BB,hRANTES,hTGFa,hTNFa,hTNFb,hVEGF-A
Plate 1,mgh1_dual_10,Dual,10,J20,156,,Standard Curve Group 1,214.3384,18.69525,9.790359,336.7213,2.516055,-,29.24005,355.6926,1.619509,8.128909,6.089703,2.772958,7.523302,3.296861,3.169609,8.666797,2.691564,0.726886,1.90128,31.77001,0.210356,-,6.777281,-,13.81395,-,17.9846,12.24535,216.8773,20.60637,2.047021,103.1819,479.8349,16.65071,30.80755,48.90426,-,1.830445,-,-,-,12.62869,1020.235,1.426776,3.432521,5.967556,12.27461,17.25613
Plate 1,mgh1_dual_10,Dual,10,J21,157,,Standard Curve Group 1,-,17.88817,7.083625,323.9647,2.638413,-,21.65078,365.6592,1.340021,9.181032,4.393981,6.709827,4.409862,-,2.29904,1.965447,1.946656,-,1.119359,19.07471,0.236354,-,6.341018,-,-,-,17.76619,11.32359,167.971,21.21748,1.910452,69.64703,395.9406,13.20395,27.47788,40.91483,-,1.301872,-,-,-,12.65784,917.6146,1.412981,3.093901,4.849917,10.21482,-
Plate 1,mgh1_dual_10,Dual,10,J22,158,,Standard Curve Group 1,-,17.93797,5.948095,336.4257,1.789973,-,18.26431,145.2875,0.921988,6.808661,4.245964,3.322269,5.143625,-,2.218977,2.253899,2.456869,-,1.092505,7.444927,0.198744,-,-,-,-,-,18.75174,12.6008,138.9779,-,-,58.73008,395.6554,14.31289,27.70173,36.92052,-,1.086286,-,-,-,10.77374,843.2673,1.280304,3.278401,2.75663,9.873205,-
Plate 1,mgh1_dual_10,Dual,10,J23,159,,Standard Curve Group 1,-,17.56043,5.958671,342.3272,2.143301,-,17.78232,365.9083,0.964275,5.455485,3.776835,2.368891,5.475752,-,2.134964,2.224276,2.020351,-,1.082637,19.43272,0.155486,-,-,-,12.91077,-,17.70722,11.15651,177.1743,-,-,59.39315,476.5647,14.60849,26.13203,37.26672,-,1.255932,-,-,-,14.34929,884.529,1.11008,3.692363,4.052102,10.07562,-
Plate 1,mgh1_dual_10,Dual,10,J24,160,,Standard Curve Group 1,126.3632,17.68134,8.882654,323.4825,2.199348,-,23.78309,176.5811,1.071362,10.36023,4.838457,3.416952,5.387726,3.049895,2.863589,4.507415,2.306432,-,1.454409,8.919786,0.31007,-,6.914159,-,-,-,19.23898,12.53693,183.6288,-,2.024512,77.25475,427.8865,15.96394,28.07035,43.66983,-,1.389308,-,-,-,12.85144,950.9699,1.184657,3.217795,5.52417,9.251971,16.01139
Plate 1,mgh1_dual_13,Dual,13,K13,161,,Standard Curve Group 1,112.0171,14.72528,7.548004,315.9359,2.056852,-,18.3376,63.60831,-,6.067705,4.819073,2.680665,3.865183,-,1.521685,1.628275,2.008812,-,1.103771,2.917763,0.144684,-,6.44285,-,-,-,17.97963,9.955997,136.1121,-,-,46.6241,361.3486,12.33341,28.47826,30.78025,-,0.872491,-,-,-,11.39239,848.3177,1.093811,2.869851,4.849814,8.716291,18.64733
Plate 1,mgh1_dual_13,Dual,13,K14,162,,Standard Curve Group 1,111.751,14.68386,6.279934,325.6938,2.070596,-,13.33481,102.6531,0.974111,8.007641,3.842038,2.339702,3.170547,-,1.360669,1.092792,1.809388,-,1.410189,2.90396,0.189485,-,-,-,-,-,18.07737,10.59045,149.7133,-,-,45.26196,323.9132,11.21283,27.13465,34.23855,-,0.679471,-,-,-,11.21742,797.5144,1.072542,2.833515,4.838325,7.508253,19.60998
Plate 1,mgh1_dual_13,Dual,13,K15,163,,Standard Curve Group 1,-,17.00898,7.442059,338.2514,2.162431,-,18.89355,141.2206,0.844747,9.971108,4.1204,7.791607,3.90007,-,1.981054,1.790175,2.129447,0.468144,1.344997,9.950745,0.353941,-,-,-,-,-,19.58265,10.63712,156.8627,-,-,48.55579,374.555,12.66014,28.30123,37.02271,-,1.020087,-,-,-,11.53371,798.9903,1.288073,2.36131,6.600655,8.039301,14.68013
Plate 1,mgh1_dual_13,Dual,13,K16,164,,Standard Curve Group 1,136.0015,15.87714,7.894107,349.8016,2.092733,-,16.78017,61.58852,1.335608,3.983031,3.944893,2.179618,4.34832,-,1.518081,1.774485,2.46315,-,1.481665,2.496295,0.272054,-,4.884121,-,-,-,19.29508,13.78908,155.418,17.32812,-,50.84726,343.3795,12.95861,29.56065,36.66702,-,1.013039,-,-,-,10.09203,858.4778,1.04719,3.218163,7.018433,9.161403,20.23402
Plate 1,mgh1_dual_13,Dual,13,K17,165,,Standard Curve Group 1,185.3606,15.31027,6.654525,309.5196,2.061253,-,16.243,157.7252,0.861298,9.730569,4.515306,3.600079,5.666621,2.554683,1.769852,0.950316,1.991597,0.473759,1.30025,5.337003,0.149948,-,4.956188,-,-,-,16.78275,8.606642,132.1741,-,-,54.29027,348.2251,13.55494,27.11557,37.12928,-,0.996671,-,-,-,10.93497,895.126,1.299976,2.754582,5.078331,9.371844,15.10728
