Plate,Group,Treatment,Day,Location,Well ID,sCD40L,hEGF,hEotaxin,hFGF-2,hFLT-3L,hG-CSF,hGM-CSF,hGROa,hIFNa2,hIFNy,hIL-1a,hIL-1b,hIL-1RA,hIL-2,hIL-3,hIL-4,hIL-6,hIL-7,hIL-8,hIL-10,hIL-15,hIL-17A,hIL-17E/IL-25,hIL-17F,hIL-22,hIL-27,hIP-10,hMCP-1,hMCP-3,hMDC,hPDGF-AA,hPDGF-AB/BB,hRANTES,hTGFa,hTNFa,hTNFb,hVEGF-A
Plate 1,mgh2_msc_03,MSC,3,A6,14,-,19.47841,6.002287,350.7385,2.514718,42.03431,38.55636,1.536954,3.631583,4.472772,3.142256,5.300218,7.795544,3.517185,2.297527,1.996608,14.97784,1.805783,1.140296,-,16.17415,13.11142,166.7635,-,63.35559,596.4124,16.6889,28.18172,23.50299,0.891916,9.39534,1201.595,1.02341,4.251903,-,17.22989,26.03784
Plate 1,mgh2_msc_03,MSC,3,A7,15,175.9032,21.97861,10.28869,350.0463,2.110171,23.75881,75.71313,1.257635,8.120184,7.587026,4.906143,5.915309,3.327419,1.660132,8.830624,2.755294,5.792067,6.856805,0.120341,9.139034,20.13922,9.240107,215.2197,-,70.65071,439.1198,13.43968,29.07731,45.98766,1.731864,9.709257,1082.341,1.54151,2.946555,9.087747,9.887599,25.23242
Plate 1,mgh2_msc_03,MSC,3,A8,16,248.6463,19.37941,10.63268,332.7012,2.537606,7.529335,169.2878,-,12.34907,4.132559,6.270232,7.161252,4.872477,2.276178,5.312938,2.149464,3.660066,6.199905,0.324154,8.173941,21.3536,15.05244,216.699,-,63.73818,458.2516,10.55306,30.25361,38.23913,0.876876,23.00664,868.5233,1.373079,4.475496,6.702502,10.88509,22.22927
Plate 1,mgh2_msc_05,MSC,5,B6,20,261.6463,18.58732,14.7858,386.4232,2.487631,32.64619,73.1137,35.33359,5.098023,5.335152,113.1458,4.730292,3442.181,2.545112,2.85257,3.075959,3.522308,3.077184,32.40323,7.468197,21.29709,14.6547,238.1167,26.70077,68.11896,582.7681,16.39751,32.38587,45.72924,63.69747,12.42205,1157.242,2.220236,5.435295,6.410174,15.61153,36.02781
Plate 1,mgh2_msc_05,MSC,5,B7,21,196.7761,15.39107,11.37484,330.5045,2.641043,17.73195,48.24989,1.278879,5.961897,4.523677,3.932975,4.659762,2.771587,1.971689,1.772107,1.767285,2.095465,1.483603,0.236418,7.953097,17.26786,8.02604,182.8852,-,48.22373,412.1374,11.24499,28.88785,36.58159,0.558071,9.090722,800.7062,1.08613,3.41033,5.363546,10.90071,22.19375
Plate 1,mgh2_msc_05,MSC,5,B8,22,143.2616,16.57312,13.88657,345.5822,2.350412,17.31803,56.58891,0.994036,8.131256,4.153916,3.182918,6.06908,2.758892,1.953208,1.845674,2.652067,1.83064,2.496887,-,-,16.00794,10.50603,194.9932,19.98161,57.64339,542.0811,11.77211,29.83604,23.22841,0.530759,9.147712,912.7095,1.105281,2.597864,4.520054,11.39853,19.20312
Plate 1,mgh2_msc_10,MSC,10,C6,26,165.359,17.64691,7.988636,350.5946,2.476154,23.49021,154.712,1.084571,11.14992,6.710356,4.251424,5.490106,2.572574,2.51238,4.634007,2.255008,1.651992,7.771101,0.148296,-,19.68223,13.33707,191.8422,20.47902,70.28512,434.9665,16.27917,27.2911,40.34575,1.091586,12.84399,861.7169,1.369117,4.068362,8.971097,11.52752,23.91332
Plate 1,mgh2_msc_10,MSC,10,C7,27,143.5271,17.91773,8.246885,343.8822,2.386825,16.52021,111.0667,1.176263,8.126729,5.594133,2.219909,4.906631,2.778249,2.638751,4.182265,2.714904,1.856518,4.959716,0.180989,7.723424,16.73556,12.3076,181.3779,-,74.93958,508.2418,13.16301,31.06231,59.10423,0.967121,13.01317,1056.1,0.869883,3.769406,6.365676,10.47817,15.2175
Plate 1,mgh2_msc_10,MSC,10,C8,28,177.1288,15.99201,7.002626,347.4313,2.220852,18.12193,67.06363,0.915401,11.07479,5.338604,3.278453,4.53589,2.853379,1.81492,3.419341,2.297101,1.788165,3.481286,0.344061,6.86036,20.0646,13.24416,174.6832,19.58234,65.33889,462.815,13.1499,29.50314,41.39384,1.011063,13.88495,1007.784,1.617703,3.062495,5.215893,7.961877,17.92491
Plate 1,mgh2_msc_12,MSC,12,D6,32,190.3805,16.02409,3.82759,351.6823,1.988955,15.4548,131.0511,1.33453,1.926986,4.035676,2.696612,7.353186,4.600263,2.330685,4.345325,1.408427,1.868623,11.99653,0.430374,-,21.24554,5.969524,177.8184,-,55.77158,341.542,14.98798,29.65442,28.8973,1.576586,12.16845,662.5596,1.553086,3.849896,4.701764,5.261422,26.10156
